departure,departure_state,destination,destination_state,rel_tonnage,cargo_type,ship_tonnage,ship_tonnage_class,ship_tonnage_class_ranking
Dunkerque,France,Nieuport,Autriche,6.666666666666667,Matières premières,20,[1-20],a
Dunkerque,France,Ostende,Autriche,40.0,Subsistances,40,[21-50],b
Dunkerque,France,Ostende,Autriche,4.0,Objets manufacturés,12,[1-20],a
Dunkerque,France,Ostende,Autriche,4.0,Matières premières,12,[1-20],a
Dunkerque,France,Ostende,Autriche,4.0,[vide],12,[1-20],a
Dunkerque,France,Itlands [Shetland],Grande-Bretagne,20.0,[vide],40,[21-50],b
Dunkerque,France,Itlands [Shetland],Grande-Bretagne,20.0,[vide],40,[21-50],b
Dunkerque,France,Ostende,Autriche,25.0,Subsistances,50,[21-50],b
Dunkerque,France,Ostende,Autriche,25.0,[vide],50,[21-50],b
Dunkerque,France,Ostende,Autriche,6.666666666666667,Objets manufacturés,20,[1-20],a
Dunkerque,France,Ostende,Autriche,6.666666666666667,Subsistances,20,[1-20],a
Dunkerque,France,Ostende,Autriche,6.666666666666667,Subsistances,20,[1-20],a
Dunkerque,France,Amsterdam,Provinces-Unies,40.0,[vide],40,[21-50],b
Dunkerque,France,Bergen,Danemark,35.0,Subsistances,35,[21-50],b
Dunkerque,France,Amsterdam,Provinces-Unies,35.0,[vide],70,[51-100],c
Dunkerque,France,Amsterdam,Provinces-Unies,35.0,Subsistances,70,[51-100],c
Le Havre,France,Port au Prince,France,220.0,cargaison inconnue,220,[201-500],e
Rouen,France,Amsterdam,Provinces-Unies,62.0,cargaison inconnue,62,[51-100],c
Noirmoutier,France,Riga,Empire russe,260.0,Subsistances,260,[201-500],e
Dunkerque,France,Londres,Grande-Bretagne,60.0,Subsistances,60,[51-100],c
Dunkerque,France,Londres,Grande-Bretagne,40.0,Subsistances,40,[21-50],b
Dunkerque,France,Londres,Grande-Bretagne,60.0,Subsistances,60,[51-100],c
Quillebeuf,France,Amsterdam,Provinces-Unies,62.0,cargaison inconnue,62,[51-100],c
Le Havre,France,Gand,Autriche,60.0,cargaison inconnue,60,[51-100],c
Le Havre,France,Gand,Autriche,40.0,cargaison inconnue,40,[21-50],b
Le Havre,France,Londres,Grande-Bretagne,250.0,cargaison inconnue,250,[201-500],e
Le Havre,France,Tabago,France,220.0,cargaison inconnue,220,[201-500],e
Saint Valéry sur Somme,France,Amsterdam,Provinces-Unies,35.0,cargaison inconnue,35,[21-50],b
Dunkerque,France,Londres,Grande-Bretagne,130.0,Divers,130,[101-200],d
Dunkerque,France,Emblesence,Grande-Bretagne,30.0,Divers,30,[21-50],b
Dunkerque,France,Pool,Grande-Bretagne,150.0,[vide],150,[101-200],d
Dunkerque,France,Pool,Grande-Bretagne,80.0,[vide],80,[51-100],c
Dunkerque,France,Pool,Grande-Bretagne,150.0,[vide],150,[101-200],d
Dunkerque,France,Rotterdam,Provinces-Unies,75.0,Subsistances,75,[51-100],c
Dunkerque,France,Rotterdam,Provinces-Unies,25.0,Subsistances,50,[21-50],b
Dunkerque,France,Rotterdam,Provinces-Unies,25.0,[vide],50,[21-50],b
Dunkerque,France,Rotterdam,Provinces-Unies,20.0,[vide],40,[21-50],b
Dunkerque,France,Rotterdam,Provinces-Unies,20.0,Subsistances,40,[21-50],b
Dunkerque,France,Rotterdam,Provinces-Unies,20.0,Objets manufacturés,40,[21-50],b
Dunkerque,France,Rotterdam,Provinces-Unies,20.0,[vide],40,[21-50],b
Dunkerque,France,Rotterdam,Provinces-Unies,100.0,Subsistances,100,[51-100],c
Dunkerque,France,Rotterdam,Provinces-Unies,40.0,Subsistances,40,[21-50],b
Dunkerque,France,Rotterdam,Provinces-Unies,40.0,Subsistances,40,[21-50],b
Dunkerque,France,Rotterdam,Provinces-Unies,70.0,Subsistances,70,[51-100],c
Dunkerque,France,Rotterdam,Provinces-Unies,40.0,[vide],40,[21-50],b
Dunkerque,France,Rotterdam,Provinces-Unies,17.5,Subsistances,35,[21-50],b
Dunkerque,France,Rotterdam,Provinces-Unies,17.5,[vide],35,[21-50],b
Dunkerque,France,Flessingue,Provinces-Unies,15.0,Subsistances,30,[21-50],b
Dunkerque,France,Flessingue,Provinces-Unies,15.0,Subsistances,30,[21-50],b
Dunkerque,France,Schiedam,Provinces-Unies,70.0,[vide],70,[51-100],c
Dunkerque,France,Schiedam,Provinces-Unies,90.0,Subsistances,90,[51-100],c
Dunkerque,France,Petersbourg,Empire russe,320.0,Divers,320,[201-500],e
Dunkerque,France,La Louisianne,Espagne,43.333333333333336,Subsistances,130,[101-200],d
Dunkerque,France,La Louisianne,Espagne,43.333333333333336,Objets manufacturés,130,[101-200],d
Dunkerque,France,La Louisianne,Espagne,43.333333333333336,[vide],130,[101-200],d
Dunkerque,France,Côte du Brésil,Portugal,220.0,cargaison inconnue,220,[201-500],e
Dunkerque,France,Côte du Brésil,Portugal,270.0,cargaison inconnue,270,[201-500],e
Dunkerque,France,Groenland,Danemark,350.0,cargaison inconnue,350,[201-500],e
Dunkerque,France,Groenland,Danemark,400.0,cargaison inconnue,400,[201-500],e
Dunkerque,France,La Martinique,France,37.5,Industrie française et étrangère,150,[101-200],d
Dunkerque,France,La Martinique,France,37.5,Industrie française et étrangère,150,[101-200],d
Dunkerque,France,La Martinique,France,37.5,Divers,150,[101-200],d
Dunkerque,France,La Martinique,France,37.5,Bêtes de somme,150,[101-200],d
Dunkerque,France,La Martinique,France,250.0,Objets manufacturés,250,[201-500],e
Dunkerque,France,La Martinique,France,116.66666666666667,Subsistances,350,[201-500],e
Dunkerque,France,La Martinique,France,116.66666666666667,Subsistances,350,[201-500],e
Dunkerque,France,La Martinique,France,116.66666666666667,Objets manufacturés,350,[201-500],e
Dunkerque,France,La Martinique,France,66.66666666666667,Bêtes de somme,200,[101-200],d
Dunkerque,France,La Martinique,France,66.66666666666667,Industrie française et étrangère,200,[101-200],d
Dunkerque,France,La Martinique,France,66.66666666666667,Objets manufacturés,200,[101-200],d
Dunkerque,France,La Martinique,France,250.0,Objets manufacturés,250,[201-500],e
Dunkerque,France,La Martinique,France,43.333333333333336,[vide],130,[101-200],d
Dunkerque,France,La Martinique,France,43.333333333333336,Subsistances,130,[101-200],d
Dunkerque,France,La Martinique,France,43.333333333333336,Divers,130,[101-200],d
Dunkerque,France,La Martinique,France,75.0,Industrie française et étrangère,300,[201-500],e
Dunkerque,France,La Martinique,France,75.0,Objets manufacturés,300,[201-500],e
Dunkerque,France,La Martinique,France,75.0,Divers,300,[201-500],e
Dunkerque,France,La Martinique,France,75.0,Bêtes de somme,300,[201-500],e
Dunkerque,France,La Martinique,France,45.0,Subsistances,180,[101-200],d
Dunkerque,France,La Martinique,France,45.0,Objets manufacturés,180,[101-200],d
Dunkerque,France,La Martinique,France,45.0,Subsistances,180,[101-200],d
Dunkerque,France,La Martinique,France,45.0,Industrie française et étrangère,180,[101-200],d
Dunkerque,France,Saint Pierre en Martinique,France,28.333333333333332,Industrie française et étrangère,85,[51-100],c
Dunkerque,France,Saint Pierre en Martinique,France,28.333333333333332,Subsistances,85,[51-100],c
Dunkerque,France,Saint Pierre en Martinique,France,28.333333333333332,Objets manufacturés,85,[51-100],c
Dunkerque,France,Port au Prince,France,100.0,Industrie française et étrangère,400,[201-500],e
Dunkerque,France,Port au Prince,France,100.0,Bêtes de somme,400,[201-500],e
Dunkerque,France,Port au Prince,France,100.0,Divers,400,[201-500],e
Dunkerque,France,Port au Prince,France,100.0,Industrie française et étrangère,400,[201-500],e
Dunkerque,France,Cap [Français],France,100.0,Objets manufacturés,300,[201-500],e
Dunkerque,France,Cap [Français],France,100.0,Bêtes de somme,300,[201-500],e
Dunkerque,France,Cap [Français],France,100.0,Subsistances,300,[201-500],e
Dunkerque,France,Cap [Français],France,63.333333333333336,Industrie française et étrangère,190,[101-200],d
Dunkerque,France,Cap [Français],France,63.333333333333336,Objets manufacturés,190,[101-200],d
Dunkerque,France,Cap [Français],France,63.333333333333336,Industrie française et étrangère,190,[101-200],d
Dunkerque,France,Cap [Français],France,73.33333333333333,Subsistances,220,[201-500],e
Dunkerque,France,Cap [Français],France,73.33333333333333,Industrie française et étrangère,220,[201-500],e
Dunkerque,France,Cap [Français],France,73.33333333333333,Matières premières,220,[201-500],e
Dunkerque,France,Cap [Français],France,115.0,Industrie française et étrangère,230,[201-500],e
Dunkerque,France,Cap [Français],France,115.0,[vide],230,[201-500],e
Dunkerque,France,Cap [Français],France,32.5,Divers,130,[101-200],d
Dunkerque,France,Cap [Français],France,32.5,Subsistances,130,[101-200],d
Dunkerque,France,Cap [Français],France,32.5,Industrie française et étrangère,130,[101-200],d
Dunkerque,France,Cap [Français],France,32.5,Industrie française et étrangère,130,[101-200],d
Dunkerque,France,Cayes Saint Louis,France,300.0,Objets manufacturés,300,[201-500],e
Boulogne sur Mer,France,Rotterdam,Provinces-Unies,40.0,Subsistances,40,[21-50],b
Calais,France,Ostende,Autriche,25.0,cargaison inconnue,25,[21-50],b
Calais,France,Ostende,Autriche,30.0,cargaison inconnue,30,[21-50],b
Abbeville,France,Amsterdam,Provinces-Unies,43.0,Subsistances,43,[21-50],b
Dunkerque,France,Ostende,Autriche,6.0,Subsistances,18,[1-20],a
Dunkerque,France,Ostende,Autriche,6.0,Subsistances,18,[1-20],a
Dunkerque,France,Ostende,Autriche,6.0,[vide],18,[1-20],a
Dunkerque,France,Islande,Danemark,45.0,cargaison inconnue,45,[21-50],b
Dunkerque,France,Islande,Danemark,50.0,cargaison inconnue,50,[21-50],b
Dunkerque,France,Islande,Danemark,40.0,cargaison inconnue,40,[21-50],b
Dunkerque,France,Islande,Danemark,45.0,cargaison inconnue,45,[21-50],b
Dunkerque,France,Islande,Danemark,70.0,cargaison inconnue,70,[51-100],c
Dunkerque,France,Islande,Danemark,45.0,cargaison inconnue,45,[21-50],b
Dunkerque,France,Islande,Danemark,40.0,cargaison inconnue,40,[21-50],b
Dunkerque,France,Islande,Danemark,60.0,cargaison inconnue,60,[51-100],c
Dunkerque,France,Islande,Danemark,45.0,cargaison inconnue,45,[21-50],b
Dunkerque,France,Islande,Danemark,90.0,cargaison inconnue,90,[51-100],c
Dunkerque,France,Islande,Danemark,50.0,cargaison inconnue,50,[21-50],b
Dunkerque,France,Islande,Danemark,60.0,cargaison inconnue,60,[51-100],c
Dunkerque,France,Islande,Danemark,40.0,cargaison inconnue,40,[21-50],b
Dunkerque,France,Islande,Danemark,30.0,cargaison inconnue,30,[21-50],b
Dunkerque,France,Islande,Danemark,45.0,cargaison inconnue,45,[21-50],b
Dunkerque,France,Islande,Danemark,60.0,cargaison inconnue,60,[51-100],c
Dunkerque,France,Islande,Danemark,40.0,cargaison inconnue,40,[21-50],b
Dunkerque,France,Islande,Danemark,90.0,cargaison inconnue,90,[51-100],c
Dunkerque,France,Islande,Danemark,130.0,cargaison inconnue,130,[101-200],d
Dunkerque,France,Islande,Danemark,30.0,cargaison inconnue,30,[21-50],b
Dunkerque,France,Islande,Danemark,45.0,cargaison inconnue,45,[21-50],b
Dunkerque,France,Islande,Danemark,45.0,cargaison inconnue,45,[21-50],b
Dunkerque,France,Islande,Danemark,40.0,cargaison inconnue,40,[21-50],b
Dunkerque,France,Islande,Danemark,45.0,cargaison inconnue,45,[21-50],b
Dunkerque,France,Islande,Danemark,54.0,cargaison inconnue,54,[51-100],c
Dunkerque,France,Islande,Danemark,50.0,cargaison inconnue,50,[21-50],b
Dunkerque,France,Islande,Danemark,100.0,cargaison inconnue,100,[51-100],c
Dunkerque,France,Islande,Danemark,80.0,cargaison inconnue,80,[51-100],c
Dunkerque,France,Islande,Danemark,40.0,cargaison inconnue,40,[21-50],b
Dunkerque,France,Islande,Danemark,40.0,cargaison inconnue,40,[21-50],b
Dunkerque,France,Islande,Danemark,0.0,cargaison inconnue,0,inconnu,f
Dunkerque,France,Islande,Danemark,60.0,cargaison inconnue,60,[51-100],c
Dunkerque,France,Islande,Danemark,110.0,cargaison inconnue,110,[101-200],d
Dunkerque,France,Islande,Danemark,35.0,cargaison inconnue,35,[21-50],b
Dunkerque,France,Islande,Danemark,100.0,cargaison inconnue,100,[51-100],c
Dunkerque,France,Islande,Danemark,40.0,cargaison inconnue,40,[21-50],b
Dunkerque,France,Islande,Danemark,50.0,cargaison inconnue,50,[21-50],b
Dunkerque,France,Islande,Danemark,40.0,cargaison inconnue,40,[21-50],b
Dunkerque,France,Islande,Danemark,100.0,cargaison inconnue,100,[51-100],c
Dunkerque,France,Islande,Danemark,45.0,cargaison inconnue,45,[21-50],b
Dunkerque,France,Islande,Danemark,50.0,cargaison inconnue,50,[21-50],b
Dunkerque,France,Islande,Danemark,45.0,cargaison inconnue,45,[21-50],b
Dunkerque,France,Islande,Danemark,70.0,cargaison inconnue,70,[51-100],c
Dunkerque,France,Itlands [Shetland],Grande-Bretagne,10.0,[vide],30,[21-50],b
Dunkerque,France,Itlands [Shetland],Grande-Bretagne,10.0,[vide],30,[21-50],b
Dunkerque,France,Itlands [Shetland],Grande-Bretagne,10.0,Matières premières,30,[21-50],b
Dunkerque,France,Itlands [Shetland],Grande-Bretagne,22.5,[vide],45,[21-50],b
Dunkerque,France,Itlands [Shetland],Grande-Bretagne,22.5,[vide],45,[21-50],b
Dunkerque,France,Itlands [Shetland],Grande-Bretagne,15.0,[vide],30,[21-50],b
Dunkerque,France,Itlands [Shetland],Grande-Bretagne,15.0,[vide],30,[21-50],b
Dunkerque,France,Itlands [Shetland],Grande-Bretagne,15.0,[vide],30,[21-50],b
Dunkerque,France,Itlands [Shetland],Grande-Bretagne,15.0,[vide],30,[21-50],b
Dunkerque,France,Itlands [Shetland],Grande-Bretagne,24.0,[vide],48,[21-50],b
Dunkerque,France,Itlands [Shetland],Grande-Bretagne,24.0,[vide],48,[21-50],b
Dunkerque,France,Amsterdam,Provinces-Unies,70.0,[vide],70,[51-100],c
Dunkerque,France,Amsterdam,Provinces-Unies,45.0,[vide],90,[51-100],c
Dunkerque,France,Amsterdam,Provinces-Unies,45.0,Subsistances,90,[51-100],c
Dunkerque,France,Amsterdam,Provinces-Unies,40.0,Subsistances,40,[21-50],b
Dunkerque,France,Terre Neuve,Grande-Bretagne,90.0,cargaison inconnue,90,[51-100],c
Dunkerque,France,Islande,Danemark,90.0,cargaison inconnue,90,[51-100],c
Dunkerque,France,Islande,Danemark,90.0,cargaison inconnue,90,[51-100],c
Dunkerque,France,Islande,Danemark,45.0,cargaison inconnue,45,[21-50],b
Rouen,France,Dunkerque,France,38.0,cargaison inconnue,38,[21-50],b
Etaples,France,Dunkerque,France,25.0,Subsistances,25,[21-50],b
Dunkerque,France,Malaga,Espagne,130.0,Industrie française et étrangère,130,[101-200],d
Dunkerque,France,Marseille,France,160.0,[vide],160,[101-200],d
Le Havre,France,Dunkerque,France,20.0,cargaison inconnue,20,[1-20],a
Dunkerque,France,Banc de Terre Neuve,zone maritime,100.0,cargaison inconnue,100,[51-100],c
Dunkerque,France,Banc de Terre Neuve,zone maritime,90.0,cargaison inconnue,90,[51-100],c
Rouen,France,Dunkerque,France,25.0,cargaison inconnue,25,[21-50],b
Dunkerque,France,Etaples,France,4.166666666666667,Subsistances,25,[21-50],b
Dunkerque,France,Etaples,France,4.166666666666667,Matières premières,25,[21-50],b
Dunkerque,France,Etaples,France,4.166666666666667,[vide],25,[21-50],b
Dunkerque,France,Etaples,France,4.166666666666667,Matières premières,25,[21-50],b
Dunkerque,France,Etaples,France,4.166666666666667,Objets manufacturés,25,[21-50],b
Dunkerque,France,Etaples,France,4.166666666666667,Subsistances,25,[21-50],b
Dunkerque,France,Saint Valéry sur Somme,France,13.333333333333334,Objets manufacturés,40,[21-50],b
Dunkerque,France,Saint Valéry sur Somme,France,13.333333333333334,Matières premières,40,[21-50],b
Dunkerque,France,Saint Valéry sur Somme,France,13.333333333333334,Subsistances,40,[21-50],b
Dunkerque,France,Banc de Terre Neuve,zone maritime,75.0,cargaison inconnue,75,[51-100],c
Dunkerque,France,Bayonne,France,30.0,Matières premières,90,[51-100],c
Dunkerque,France,Bayonne,France,30.0,Industrie française et étrangère,90,[51-100],c
Dunkerque,France,Bayonne,France,30.0,Objets manufacturés,90,[51-100],c
Dunkerque,France,Rouen,France,25.0,Matières premières,75,[51-100],c
Dunkerque,France,Rouen,France,25.0,Objets manufacturés,75,[51-100],c
Dunkerque,France,Rouen,France,25.0,Subsistances,75,[51-100],c
Dunkerque,France,Saint Valéry sur Somme,France,25.0,Matières premières,25,[21-50],b
Dunkerque,France,Saint Valéry sur Somme,France,30.0,Matières premières,30,[21-50],b
Dunkerque,France,Cherbourg,France,8.0,Subsistances,8,[1-20],a
Dunkerque,France,Bayonne,France,40.0,Matières premières,80,[51-100],c
Dunkerque,France,Bayonne,France,40.0,Objets manufacturés,80,[51-100],c
Dunkerque,France,Marseille,France,120.0,[vide],120,[101-200],d
Dunkerque,France,Banc de Terre Neuve,zone maritime,100.0,cargaison inconnue,100,[51-100],c
Dunkerque,France,Noirmoutier,France,260.0,Divers,260,[201-500],e
Etaples,France,Dunkerque,France,42.0,Divers,42,[21-50],b
Etaples,France,Dunkerque,France,25.0,Divers,25,[21-50],b
Dunkerque,France,Calais,France,6.0,Objets manufacturés,18,[1-20],a
Dunkerque,France,Calais,France,6.0,Subsistances,18,[1-20],a
Dunkerque,France,Calais,France,6.0,Industrie française et étrangère,18,[1-20],a
Bordeaux,France,Dunkerque,France,45.0,[vide],90,[51-100],c
Bordeaux,France,Dunkerque,France,45.0,Subsistances,90,[51-100],c
Bordeaux,France,Dunkerque,France,75.0,Subsistances,150,[101-200],d
Bordeaux,France,Dunkerque,France,75.0,[vide],150,[101-200],d
Bordeaux,France,Dunkerque,France,41.5,[vide],83,[51-100],c
Bordeaux,France,Dunkerque,France,41.5,Subsistances,83,[51-100],c
Dunkerque,France,Cherbourg,France,90.0,[vide],90,[51-100],c
Dunkerque,France,Banc de Terre Neuve,zone maritime,150.0,cargaison inconnue,150,[101-200],d
Dunkerque,France,Banc de Terre Neuve,zone maritime,110.0,cargaison inconnue,110,[101-200],d
Dunkerque,France,Saint Valéry sur Somme,France,12.5,Subsistances,25,[21-50],b
Dunkerque,France,Saint Valéry sur Somme,France,12.5,Subsistances,25,[21-50],b
Le Havre,France,Dunkerque,France,75.0,cargaison inconnue,75,[51-100],c
Le Havre,France,Dunkerque,France,38.0,cargaison inconnue,38,[21-50],b
Le Havre,France,Dunkerque,France,50.0,cargaison inconnue,50,[21-50],b
Rouen,France,Dunkerque,France,30.0,cargaison inconnue,30,[21-50],b
Rouen,France,Dunkerque,France,75.0,cargaison inconnue,75,[51-100],c
Rouen,France,Dunkerque,France,40.0,cargaison inconnue,40,[21-50],b
Rouen,France,Dunkerque,France,18.0,cargaison inconnue,18,[1-20],a
Bordeaux,France,Calais,France,65.0,[vide],65,[51-100],c
Bordeaux,France,Dunkerque,France,50.0,[vide],100,[51-100],c
Bordeaux,France,Dunkerque,France,50.0,Subsistances,100,[51-100],c
Bordeaux,France,Le Havre,France,100.0,[vide],200,[101-200],d
Bordeaux,France,Le Havre,France,100.0,Subsistances,200,[101-200],d
Lorient,France,Dunkerque,France,12.25,Subsistances,49,[21-50],b
Lorient,France,Dunkerque,France,12.25,Matières premières,49,[21-50],b
Lorient,France,Dunkerque,France,12.25,Subsistances,49,[21-50],b
Lorient,France,Dunkerque,France,12.25,Subsistances,49,[21-50],b
Nantes,France,Dunkerque,France,50.0,cargaison inconnue,50,[21-50],b
Nantes,France,Dunkerque,France,76.0,cargaison inconnue,76,[51-100],c
Saint Martin de Ré,France,Dunkerque,France,250.0,[vide],250,[201-500],e
Dieppe,France,Dunkerque,France,280.0,cargaison inconnue,280,[201-500],e
Dieppe,France,Dunkerque,France,30.0,cargaison inconnue,30,[21-50],b
Dieppe,France,Dunkerque,France,260.0,cargaison inconnue,260,[201-500],e
Dieppe,France,Dunkerque,France,40.0,cargaison inconnue,40,[21-50],b
Dieppe,France,Dunkerque,France,30.0,cargaison inconnue,30,[21-50],b
Noirmoutier,France,Elseneur,Danemark,260.0,Subsistances,260,[201-500],e
Marennes,France,Dunkerque,France,68.0,Subsistances,68,[51-100],c
Marennes,France,Dunkerque,France,280.0,Subsistances,280,[201-500],e
Marennes,France,Dunkerque,France,250.0,Subsistances,250,[201-500],e
Marennes,France,Dunkerque,France,63.0,Subsistances,63,[51-100],c
Marennes,France,Dunkerque,France,116.0,Subsistances,116,[101-200],d
Marennes,France,Dunkerque,France,190.5,[vide],381,[201-500],e
Marennes,France,Dunkerque,France,190.5,Subsistances,381,[201-500],e
Marennes,France,Dunkerque,France,250.0,Subsistances,250,[201-500],e
Lorient,France,Rouen,France,49.0,Matières premières,49,[21-50],b
Boulogne sur Mer,France,Dunkerque,France,30.0,Matières premières,30,[21-50],b
Boulogne sur Mer,France,Dunkerque,France,30.0,Matières premières,30,[21-50],b
Boulogne sur Mer,France,Dunkerque,France,30.0,Matières premières,30,[21-50],b
Charente,France,Dunkerque,France,90.0,cargaison inconnue,90,[51-100],c
Bordeaux,France,La Rochelle,France,110.0,[vide],110,[101-200],d
Marseille,France,Sette,France,180.0,cargaison inconnue,180,[101-200],d
Le Havre,France,Brest,France,240.0,cargaison inconnue,240,[201-500],e
Bayonne,France,Bordeaux,France,50.0,Subsistances,100,[51-100],c
Bayonne,France,Bordeaux,France,50.0,Industrie française et étrangère,100,[51-100],c
Saint Valéry sur Somme,France,Dunkerque,France,38.0,cargaison inconnue,38,[21-50],b
Saint Valéry sur Somme,France,Dunkerque,France,35.0,cargaison inconnue,35,[21-50],b
Saint Valéry sur Somme,France,Dunkerque,France,42.0,cargaison inconnue,42,[21-50],b
Saint Valéry sur Somme,France,Dunkerque,France,43.0,cargaison inconnue,43,[21-50],b
Saint Valéry sur Somme,France,Dunkerque,France,38.0,cargaison inconnue,38,[21-50],b
Saint Valéry sur Somme,France,Dunkerque,France,35.0,cargaison inconnue,35,[21-50],b
Saint Valéry sur Somme,France,Dunkerque,France,40.0,cargaison inconnue,40,[21-50],b
Saint Valéry sur Somme,France,Dunkerque,France,42.0,cargaison inconnue,42,[21-50],b
Saint Valéry sur Somme,France,Dunkerque,France,52.0,cargaison inconnue,52,[51-100],c
Saint Valéry sur Somme,France,Dunkerque,France,60.0,cargaison inconnue,60,[51-100],c
Saint Valéry sur Somme,France,Dunkerque,France,35.0,cargaison inconnue,35,[21-50],b
Saint Valéry sur Somme,France,Dunkerque,France,42.0,cargaison inconnue,42,[21-50],b
Saint Valéry sur Somme,France,Dunkerque,France,40.0,cargaison inconnue,40,[21-50],b
Saint Valéry sur Somme,France,Le Crotoy,France,43.0,cargaison inconnue,43,[21-50],b
La Rochelle,France,Oléron,France,110.0,cargaison inconnue,110,[101-200],d
Dunkerque,France,Barcelonne,Espagne,150.0,Objets manufacturés,150,[101-200],d
Dunkerque,France,Barcelonne,Espagne,90.0,Objets manufacturés,180,[101-200],d
Dunkerque,France,Barcelonne,Espagne,90.0,Matières premières,180,[101-200],d
Dunkerque,France,Barcelonne,Espagne,160.0,cargaison inconnue,160,[101-200],d
Dunkerque,France,Barcelonne,Espagne,150.0,[vide],150,[101-200],d
Dunkerque,France,Barcelonne,Espagne,75.0,Objets manufacturés,150,[101-200],d
Dunkerque,France,Barcelonne,Espagne,75.0,[vide],150,[101-200],d
Dunkerque,France,Barcelonne,Espagne,125.0,[vide],250,[201-500],e
Dunkerque,France,Barcelonne,Espagne,125.0,Objets manufacturés,250,[201-500],e
Dunkerque,France,Barcelonne,Espagne,160.0,[vide],160,[101-200],d
Dunkerque,France,Barcelonne,Espagne,125.0,Objets manufacturés,250,[201-500],e
Dunkerque,France,Barcelonne,Espagne,125.0,[vide],250,[201-500],e
Dunkerque,France,Cadix,Espagne,300.0,Objets manufacturés,300,[201-500],e
Dunkerque,France,Rouen,France,38.0,Subsistances,38,[21-50],b
Dunkerque,France,Rouen,France,8.333333333333334,Subsistances,25,[21-50],b
Dunkerque,France,Rouen,France,8.333333333333334,Objets manufacturés,25,[21-50],b
