pointcall_outdate,different date if any,captain_name,different capt if any,ship_name,different ship_name if any,ship_homeport,different homeport if any,observations,geniève (pintes de Paris),eau-de-vie (pintes de Paris),Taffia (pintes de Paris),tabac en feuilles (livres poids),thé (livres poids),corinthes (livres poids),vin rouge (pintes),vin fin (pintes),vin (barriques),vin (pots),liqueurs (pintes),tabac en poudre (livre poids),tabac fabriqué (livres poids),tabac en côtes (livres poids),drogues (livres poids),rhubarbre (livres poids),amidon (livres poids),café (livres poids),sucre brut (livres poids),sucre rafiné (livres),sucre en pain (livres poids),mousseline (livres poids),mousseline (livres tounois),mousseline des Indes (livres tournois),mousselines et mouchoirs (livres tournois),mouchoirs de mousseline (livres poids),mouchoirs de mousselin (valeur en £-stg),mouchoirs de soie (livres poids),mouchoirs de soie (livres tournois),perses (livres poids),nankins (livres poids),nankins (pièces),mouchoirs de Bandannoes (livres poids),Bandanoes (livres poids),bandanoes (valeur livres tournois),Bandanoes (pièces),Dimity (?) (livres poids),crêpes (livres poids),Soie des Indes (livres poids),soie et mousseline (livres tournois),marchandises des Indes (livres tournois),soieries (livres tournois),Jalap (livres poids),Taffetas (livres poids),Cambray (en livres tournois),Cambray (en £ stg),cambray (livres poids),Gauzes (livres poids),mercerie fine (livres poids),sené (livres poids),nacres de perle (livres tournois),pots de vess (en bouteiilles) /  potjevleesch???,porcelaine (livres tournois),voiture,Chocolat (livres poids),cartes à jouer (en livres poids),poudre à poudrer (livres poids),ship_id,ship_tonnage,pointcall_name,homeport_uhgs_id,ship_flag_standardized_fr,source_doc_id,homeport_lat,homeport_long,homeport_standardized_fr,mois,outdate,homeport_geom4326,homeport_comte,homeport_substate_1789_fr,homeport_state_1789_fr,pointcall_uhgs_id,pointcall_toponyme_fr,pointcall_toponyme_en,pointcall_lat,pointcall_long,pointcall_substate_1789_fr,pointcall_state_1789_fr,pointcall_partner_balance_1789,pointcall_partner_balance_supp_1789,pointcall_geom4326,shipment_price,shipment_price
1787=06=21,1787=06=20,"Kirkaldy, David",,Bonne Intention,,Deal,,,20,,,,,,,432,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0009845N,12,Lisbonne [mais: Angleterre],A0386686,britannique,110808,"51,216,667","1,4",Deal,6,1787-06-21,POINT (1.4 51.216667),Kent,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),763,763
1787=12=07,,"Wells, Richard",,Joséphine,,Deal,,,3000,11600,600,,1080,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0002714N,12,Lisbonne [mais: Angleterre],A0386686,britannique,111820,"51,216,667","1,4",Deal,12,1787-12-07,POINT (1.4 51.216667),Kent,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),9522,9522
1787=10=23,,"Smison, James",,Lively,,Banff,,AJOUTE,,1880,320,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1787-10-23,,,,,,,,,,,,,,,1299,1299
1787=06=12,,"Arthur, Daniel",,Endeavour,,Hythe,,,,,2000,,,,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001165N,12,Lisbonne [mais: Angleterre],A0387612,britannique,110760,"51,066,667","1,083,333",Hythe,6,1787-06-12,POINT (1.083333 51.066667),Kent,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),1729,1729
1787=01=20,,"Rainer, James",,Elisabeth,,Lee,,,3680,400,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000931N,12,Lisbonne [mais: Angleterre],A0385891,britannique,109833,"50,8","-1,2",Lee on Solent,1,1787-01-20,POINT (-1.2 50.8),Hampshire,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),3025,3025
1787=05=05,,"Sawyer, James",,Ranger,,Dungeness,,,,500,2000,5900,,,320,,,,,,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000780N,12,Lisbonne [mais: Angleterre],A0386886,britannique,110523,"50,916,667","983,333",Dungeness,5,1787-05-05,POINT (0.983333 50.916667),Kent,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),4148,4148
1787=03=22,,"Sneller, Abraham",,Liberté,,Deal,,,400,1440,500,1500,50,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001313N,12,Lisbonne [mais: Angleterre],A0386686,britannique,110231,"51,216,667","1,4",Deal,3,1787-03-22,POINT (1.4 51.216667),Kent,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),2324,2324
1787=03=13,,"Harlow, John",,Grandby,,Faversham,,,3000,520,220,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001079N,12,Lisbonne [mais: Angleterre],A0391703,britannique,110145,"51,316,667","0,9",Faversham,3,1787-03-13,POINT (0.9 51.316667),Kent,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),2413,2413
1787=04=16,,"Sneller, Abraham",,Liberté,,Deal,,,620,920,600,1500,300,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001313N,12,Lisbonne [mais: Angleterre],A0386686,britannique,110431,"51,216,667","1,4",Deal,4,1787-04-16,POINT (1.4 51.216667),Kent,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),2127,2127
1787=04=16,,"Nicks, John",,Polly,,Faversham,,,1420,800,100,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000348N,12,Lisbonne [mais: Angleterre],A0391703,britannique,110438,"51,316,667","0,9",Faversham,4,1787-04-16,POINT (0.9 51.316667),Kent,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),1541,1541
